
instance_ip;cpu_idle;time
192.168.100.153;100.0;2017/03/22 13:52:05
192.168.100.153;85.0;2017/03/22 13:52:12
192.168.100.153;0.0;2017/03/22 13:52:19
192.168.100.153;0.0;2017/03/22 13:52:27
192.168.100.153;0.0;2017/03/22 13:52:34
192.168.100.153;0.0;2017/03/22 13:52:42
192.168.100.153;0.0;2017/03/22 13:52:49
192.168.100.153;0.0;2017/03/22 13:52:56
192.168.100.189;1024316.0;2017/03/22 13:53:04
192.168.100.153;0.0;2017/03/22 13:53:04
192.168.100.189;81.0;2017/03/22 13:53:11
192.168.100.153;0.0;2017/03/22 13:53:11
192.168.100.189;98.0;2017/03/22 13:53:18
192.168.100.153;0.0;2017/03/22 13:53:18
192.168.100.189;100.0;2017/03/22 13:53:25
192.168.100.153;0.0;2017/03/22 13:53:26
192.168.100.189;99.0;2017/03/22 13:53:32
192.168.100.153;0.0;2017/03/22 13:53:33
192.168.100.189;63.0;2017/03/22 13:53:39
192.168.100.153;0.0;2017/03/22 13:53:40
192.168.100.189;66.0;2017/03/22 13:53:56
192.168.100.153;8.0;2017/03/22 13:53:56
192.168.100.153;17.0;2017/03/22 13:54:03
192.168.100.189;11.0;2017/03/22 13:54:03
192.168.100.153;16.0;2017/03/22 13:54:10
192.168.100.189;13.0;2017/03/22 13:54:10
192.168.100.189;10.0;2017/03/22 13:54:17
192.168.100.153;16.0;2017/03/22 13:54:17
192.168.100.189;12.0;2017/03/22 13:54:24
192.168.100.153;24.0;2017/03/22 13:54:24
192.168.100.189;15.0;2017/03/22 13:54:31
192.168.100.153;20.0;2017/03/22 13:54:31
192.168.100.189;84.0;2017/03/22 13:54:38
192.168.100.153;83.0;2017/03/22 13:54:38
192.168.100.189;97.0;2017/03/22 13:54:45
192.168.100.153;97.0;2017/03/22 13:54:45
192.168.100.189;100.0;2017/03/22 13:54:53
192.168.100.153;100.0;2017/03/22 13:54:53
192.168.100.189;100.0;2017/03/22 13:55:00
192.168.100.153;100.0;2017/03/22 13:55:01
192.168.100.153;100.0;2017/03/22 13:55:08
192.168.100.153;100.0;2017/03/22 13:55:15
